dimension,slice,rows,eia_mae_mw,ml_mae_mw,improvement_pct,eia_bias_mw,ml_bias_mw,eia_underforecast_rate_pct,ml_underforecast_rate_pct
Demand decile,D1,869.0,2694.722669735328,1216.5537305408873,54.85421397147427,1484.4925201380897,-209.3141802746663,73.76294591484465,47.6409666283084
Demand decile,D2,869.0,3010.512082853855,1336.5135244380053,55.605110105685426,1253.5707710011507,-292.3783722631338,66.05293440736479,43.958573072497124
Demand decile,D3,869.0,2747.872266973533,1403.6192893045318,48.91977672417583,1016.3924050632911,-118.76606126431244,61.219792865362486,50.63291139240506
Demand decile,D4,869.0,2841.721518987342,1525.2344772712493,46.327095491933626,1085.355581127733,-39.43976118316827,63.17606444188723,51.89873417721519
Demand decile,D5,869.0,3064.70080552359,1712.7028838525396,44.115168411686696,1387.6996547756041,143.04034682132684,67.31875719217491,54.54545454545454
Demand decile,D6,869.0,3294.8906789413118,1807.9813820886309,45.12772779855758,1493.139240506329,333.39817027211643,69.15995397008055,57.99769850402762
Demand decile,D7,869.0,3503.0552359033372,2166.7752819012962,38.14612856532514,1229.632911392405,82.31038048917955,62.2554660529344,52.93440736478712
Demand decile,D8,869.0,3775.0310701956273,2249.6228859845373,40.40783124288408,1340.8446490218641,-124.92394842574194,65.01726121979287,51.66858457997699
Demand decile,D9,869.0,3763.2186421173765,2237.8406811259592,40.53386491870594,1482.8780207134637,245.0689433647306,64.44188722669736,54.54545454545454
Demand decile,D10,869.0,4330.4833141542,2770.3687221434307,36.02633883639569,2148.7157652474107,1450.5946363020278,63.29113924050633,69.15995397008055
