dimension,slice,rows,eia_mae_mw,ml_mae_mw,improvement_pct,eia_bias_mw,ml_bias_mw,eia_underforecast_rate_pct,ml_underforecast_rate_pct
Day type (PJM local),Weekday,6242.0,3382.682473566165,1849.3712729354875,45.328262779988236,1338.3505286767063,135.57055997584234,64.49855815443767,53.50849086831144
Day type (PJM local),Weekend,2448.0,3098.4767156862745,1825.7649054348303,41.075403400911284,1529.763480392157,175.99771581549248,68.30065359477125,53.47222222222222
