dimension,slice,rows,eia_mae_mw,ml_mae_mw,improvement_pct,eia_bias_mw,ml_bias_mw,eia_underforecast_rate_pct,ml_underforecast_rate_pct
Season (PJM local),DJF,2166.0,3349.910433979686,2384.4454355350854,28.820621251584637,1100.8984302862418,146.48729975423927,64.9584487534626,52.862419205909504
Season (PJM local),MAM,2207.0,2716.493429995469,1553.775885535167,42.80214822615056,1160.1853194381513,119.84390005664929,66.37970095151789,52.92251925690983
Season (PJM local),JJA,2208.0,4346.323822463768,2087.3240582834483,51.97495300522218,2004.2586050724638,147.66492010790776,63.04347826086957,51.49456521739131
Season (PJM local),SON,2109.0,2774.720246562352,1332.6430823768685,51.97198405756751,1293.67804646752,175.07952650287615,67.99431009957327,56.851588430535806
